source	species	name
Birds	Accipitridae (kites, hawks, eagles, and allies)	Levant sparrowhawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Chinese sparrowhawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Frances's sparrowhawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Spot-tailed sparrowhawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Grey goshawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Variable goshawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Brown goshawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Black-mantled goshawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Pied goshawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	White-bellied goshawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Fiji goshawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Moluccan goshawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Slaty-mantled goshawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Imitator goshawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Grey-headed goshawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	New Britain goshawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Little sparrowhawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Japanese sparrowhawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Besra
Birds	Accipitridae (kites, hawks, eagles, and allies)	Dwarf sparrowhawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Rufous-necked sparrowhawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Collared sparrowhawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	New Britain sparrowhawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Vinous-breasted sparrowhawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Madagascan sparrowhawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Ovambo sparrowhawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Eurasian sparrowhawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Rufous-breasted sparrowhawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Sharp-shinned hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	White-breasted hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Plain-breasted hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Rufous-thighed hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Cooper's hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Gundlach's hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Bicolored hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Chilean hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Black sparrowhawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Henst's goshawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Northern goshawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Meyer's goshawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Western marsh harrier
Birds	Accipitridae (kites, hawks, eagles, and allies)	Eastern marsh harrier
Birds	Accipitridae (kites, hawks, eagles, and allies)	Papuan harrier
Birds	Accipitridae (kites, hawks, eagles, and allies)	Swamp harrier
Birds	Accipitridae (kites, hawks, eagles, and allies)	African marsh harrier
Birds	Accipitridae (kites, hawks, eagles, and allies)	Reunion harrier
Birds	Accipitridae (kites, hawks, eagles, and allies)	Malagasy harrier
Birds	Accipitridae (kites, hawks, eagles, and allies)	Long-winged harrier
Birds	Accipitridae (kites, hawks, eagles, and allies)	Spotted harrier
Birds	Accipitridae (kites, hawks, eagles, and allies)	Black harrier
Birds	Accipitridae (kites, hawks, eagles, and allies)	Hen harrier
Birds	Accipitridae (kites, hawks, eagles, and allies)	Northern harrier
Birds	Accipitridae (kites, hawks, eagles, and allies)	Cinereous harrier
Birds	Accipitridae (kites, hawks, eagles, and allies)	Pallid harrier
Birds	Accipitridae (kites, hawks, eagles, and allies)	Pied harrier
Birds	Accipitridae (kites, hawks, eagles, and allies)	Montagu's harrier
Birds	Accipitridae (kites, hawks, eagles, and allies)	Red kite
Birds	Accipitridae (kites, hawks, eagles, and allies)	Black kite
Birds	Accipitridae (kites, hawks, eagles, and allies)	Yellow-billed kite
Birds	Accipitridae (kites, hawks, eagles, and allies)	Whistling kite
Birds	Accipitridae (kites, hawks, eagles, and allies)	Brahminy kite
Birds	Accipitridae (kites, hawks, eagles, and allies)	White-bellied sea eagle
Birds	Accipitridae (kites, hawks, eagles, and allies)	Sanford's sea eagle
Birds	Accipitridae (kites, hawks, eagles, and allies)	African fish eagle
Birds	Accipitridae (kites, hawks, eagles, and allies)	Pallas's fish eagle
Birds	Accipitridae (kites, hawks, eagles, and allies)	White-tailed eagle
Birds	Accipitridae (kites, hawks, eagles, and allies)	Bald eagle
Birds	Accipitridae (kites, hawks, eagles, and allies)	Steller's sea eagle
Birds	Accipitridae (kites, hawks, eagles, and allies)	Lesser fish eagle
Birds	Accipitridae (kites, hawks, eagles, and allies)	Grey-headed fish eagle
Birds	Accipitridae (kites, hawks, eagles, and allies)	Grasshopper buzzard
Birds	Accipitridae (kites, hawks, eagles, and allies)	White-eyed buzzard
Birds	Accipitridae (kites, hawks, eagles, and allies)	Rufous-winged buzzard
Birds	Accipitridae (kites, hawks, eagles, and allies)	Grey-faced buzzard
Birds	Accipitridae (kites, hawks, eagles, and allies)	Mississippi kite
Birds	Accipitridae (kites, hawks, eagles, and allies)	Plumbeous kite
Birds	Accipitridae (kites, hawks, eagles, and allies)	Black-collared hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Snail kite
Birds	Accipitridae (kites, hawks, eagles, and allies)	Slender-billed kite
Birds	Accipitridae (kites, hawks, eagles, and allies)	Crane hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Plumbeous hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Slate-colored hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Common black hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Rufous crab hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Savanna hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	White-necked hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Great black hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Montane solitary eagle
Birds	Accipitridae (kites, hawks, eagles, and allies)	Crowned solitary eagle
Birds	Accipitridae (kites, hawks, eagles, and allies)	Barred hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Roadside hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Harris's hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	White-rumped hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	White-tailed hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Variable hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Black-chested buzzard-eagle
Birds	Accipitridae (kites, hawks, eagles, and allies)	Mantled hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	White hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Grey-backed hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Semiplumbeous hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Black-faced hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	White-browed hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Grey hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Grey-lined hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Red-shouldered hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Ridgway's hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Broad-winged hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	White-throated hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Short-tailed hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Hawaiian hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Swainson's hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Galapagos hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Zone-tailed hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Red-tailed hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Rufous-tailed hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Ferruginous hawk
Birds	Accipitridae (kites, hawks, eagles, and allies)	Rough-legged buzzard
Birds	Accipitridae (kites, hawks, eagles, and allies)	Upland buzzard
Birds	Accipitridae (kites, hawks, eagles, and allies)	Eastern buzzard
Birds	Accipitridae (kites, hawks, eagles, and allies)	Himalayan buzzard
Birds	Accipitridae (kites, hawks, eagles, and allies)	Long-legged buzzard
Birds	Accipitridae (kites, hawks, eagles, and allies)	Cape Verde buzzard
Birds	Accipitridae (kites, hawks, eagles, and allies)	Socotra buzzard
Birds	Accipitridae (kites, hawks, eagles, and allies)	Common buzzard
Birds	Accipitridae (kites, hawks, eagles, and allies)	Forest buzzard
Birds	Accipitridae (kites, hawks, eagles, and allies)	Mountain buzzard
Birds	Accipitridae (kites, hawks, eagles, and allies)	Archer's buzzard
Birds	Accipitridae (kites, hawks, eagles, and allies)	Red-necked buzzard
Birds	Accipitridae (kites, hawks, eagles, and allies)	Madagascan buzzard
Birds	Accipitridae (kites, hawks, eagles, and allies)	Augur buzzard
Birds	Accipitridae (kites, hawks, eagles, and allies)	Jackal buzzard
Birds	Falconidae (Falcons and Caracaras)	Black caracara
Birds	Falconidae (Falcons and Caracaras)	Red throated caracara
Birds	Falconidae (Falcons and Caracaras)	Carunculated caracara
Birds	Falconidae (Falcons and Caracaras)	Mountain caracara
Birds	Falconidae (Falcons and Caracaras)	White throated caracara
Birds	Falconidae (Falcons and Caracaras)	Striated caracara
Birds	Falconidae (Falcons and Caracaras)	Crested caracara
Birds	Falconidae (Falcons and Caracaras)	Yellow-headed caracara
Birds	Falconidae (Falcons and Caracaras)	Chimango caracara
Birds	Falconidae (Falcons and Caracaras)	Laughing falcon
Birds	Falconidae (Falcons and Caracaras)	Barred forest falcon
Birds	Falconidae (Falcons and Caracaras)	Plumbeous forest falcon
Birds	Falconidae (Falcons and Caracaras)	Lined forest falcon
Birds	Falconidae (Falcons and Caracaras)	Cryptic forest falcon
Birds	Falconidae (Falcons and Caracaras)	Slaty backed forest falcon
Birds	Falconidae (Falcons and Caracaras)	Collared forest falcon
Birds	Falconidae (Falcons and Caracaras)	Buckley's forest falcon
Birds	Falconidae (Falcons and Caracaras)	African pygmy falcon
Birds	Falconidae (Falcons and Caracaras)	White rumped pygmy falcon
Birds	Falconidae (Falcons and Caracaras)	Collared falconet
Birds	Falconidae (Falcons and Caracaras)	Black thighed falconet
Birds	Falconidae (Falcons and Caracaras)	White fronted falconet
Birds	Falconidae (Falcons and Caracaras)	Spot winged falconet
Birds	Falconidae (Falcons and Caracaras)	Philippine falconet
Birds	Falconidae (Falcons and Caracaras)	pied falconet
Birds	Falconidae (Falcons and Caracaras)	Lesser kestrel
Birds	Falconidae (Falcons and Caracaras)	Greater kestrel
Birds	Falconidae (Falcons and Caracaras)	Common kestrel
Birds	Falconidae (Falcons and Caracaras)	Rock kestrel
Birds	Falconidae (Falcons and Caracaras)	Malagasy kestrel
Birds	Falconidae (Falcons and Caracaras)	Mauritius kestrel
Birds	Falconidae (Falcons and Caracaras)	Seychelles kestrel
Birds	Falconidae (Falcons and Caracaras)	Spotted kestrel
Birds	Falconidae (Falcons and Caracaras)	Nankeen kestrel
Birds	Falconidae (Falcons and Caracaras)	American kestrel
Birds	Falconidae (Falcons and Caracaras)	Fox kestrel
Birds	Falconidae (Falcons and Caracaras)	Grey kestrel
Birds	Falconidae (Falcons and Caracaras)	Dickinson's kestrel
Birds	Falconidae (Falcons and Caracaras)	Banded kestrel
Birds	Falconidae (Falcons and Caracaras)	Red necked falcon
Birds	Falconidae (Falcons and Caracaras)	Red footed falcon
Birds	Falconidae (Falcons and Caracaras)	Amur falcon
Birds	Falconidae (Falcons and Caracaras)	Eleanora's falcon
Birds	Falconidae (Falcons and Caracaras)	Sooty falcon
Birds	Falconidae (Falcons and Caracaras)	Aplomado falcon
Birds	Falconidae (Falcons and Caracaras)	Peregrine falcon
Birds	Falconidae (Falcons and Caracaras)	Merlin
Birds	Falconidae (Falcons and Caracaras)	Bat falcon
Birds	Falconidae (Falcons and Caracaras)	Orange breasted falcon
Birds	Falconidae (Falcons and Caracaras)	Eurasian hobby
Birds	Falconidae (Falcons and Caracaras)	African hobby
Birds	Falconidae (Falcons and Caracaras)	Oriental hobby
Birds	Falconidae (Falcons and Caracaras)	Australasian hobby
Birds	Falconidae (Falcons and Caracaras)	New Zealand falcon
Birds	Falconidae (Falcons and Caracaras)	Brown falcon
Birds	Falconidae (Falcons and Caracaras)	Grey falcon
Birds	Falconidae (Falcons and Caracaras)	Black falcon
Birds	Falconidae (Falcons and Caracaras)	Lanner falcon
Birds	Falconidae (Falcons and Caracaras)	Laggar falcon
Birds	Falconidae (Falcons and Caracaras)	Saker falcon
Birds	Falconidae (Falcons and Caracaras)	Gyrfalcon
Birds	Falconidae (Falcons and Caracaras)	Prairie falcon
Birds	Falconidae (Falcons and Caracaras)	Barbary falcon
Birds	Falconidae (Falcons and Caracaras)	Taita falcon
Birds	Otididae (bustards)	Great bustard
Birds	Otididae (bustards)	Arabian bustard
Birds	Otididae (bustards)	Kori bustard
Birds	Otididae (bustards)	Great Indian bustard
Birds	Otididae (bustards)	Australian bustard
Birds	Otididae (bustards)	Houbara bustard
Birds	Otididae (bustards)	MacQueen's bustard
Birds	Otididae (bustards)	Ludwig's bustard
Birds	Otididae (bustards)	Denham's bustard
Birds	Otididae (bustards)	Heuglin's bustard
Birds	Otididae (bustards)	Nubian bustard
Birds	Otididae (bustards)	White-bellied bustard
Birds	Otididae (bustards)	Blue korhaan
Birds	Otididae (bustards)	Karoo korhaan
Birds	Otididae (bustards)	Ruppell's korhaan
Birds	Otididae (bustards)	Little brown bustard
Birds	Otididae (bustards)	Savile's bustard
Birds	Otididae (bustards)	Buff-crested bustard
Birds	Otididae (bustards)	Red-crested korhaan
Birds	Otididae (bustards)	Southern black korhaan
Birds	Otididae (bustards)	Northern black korhaan
Birds	Otididae (bustards)	Black-bellied bustard
Birds	Otididae (bustards)	Hartlaub's bustard
Birds	Otididae (bustards)	Bengal florican
Birds	Otididae (bustards)	Lesser florican
Birds	Otididae (bustards)	Little bustard
Birds	Mesitornithidae (mesites)	Subdesert mesite
Birds	Mesitornithidae (mesites)	White-breasted mesite
Birds	Mesitornithidae (mesites)	Brown mesite
Birds	Cariamidae (seriemas)	Red-legged seriema
Birds	Cariamidae (seriemas)	Black-legged seriema
Birds	Rhynochetidae (kagu)	Kagu
Birds	Eurypygidae (sunbittern)	Sunbittern
Birds	Sarothruridae (flufftails)	Grey-throated rail
Birds	Sarothruridae (flufftails)	Madagascan wood rail
Birds	Sarothruridae (flufftails)	Tsingy wood rail
Birds	Sarothruridae (flufftails)	White-spotted flufftail
Birds	Sarothruridae (flufftails)	Buff-spotted flufftail
Birds	Sarothruridae (flufftails)	Red-chested flufftail
Birds	Sarothruridae (flufftails)	Chestnut-headed flufftail
Birds	Sarothruridae (flufftails)	Streaky-breasted flufftail
Birds	Sarothruridae (flufftails)	Striped flufftail
Birds	Sarothruridae (flufftails)	Madagascan flufftail
Birds	Sarothruridae (flufftails)	White-winged flufftail
Birds	Sarothruridae (flufftails)	Slender-billed flufftail
Birds	Heliornithidae (finfoots)	African finfoot
Birds	Heliornithidae (finfoots)	Masked finfoot
Birds	Heliornithidae (finfoots)	Sungrebe
Birds	Rallidae (coots, crakes, and rails)	Nkulengu rail
Birds	Rallidae (coots, crakes, and rails)	Swinhoe's rail
Birds	Rallidae (coots, crakes, and rails)	Yellow rail
Birds	Rallidae (coots, crakes, and rails)	Speckled rail
Birds	Rallidae (coots, crakes, and rails)	Ocellated crake
Birds	Rallidae (coots, crakes, and rails)	Chestnut forest rail
Birds	Rallidae (coots, crakes, and rails)	White-striped forest rail
Birds	Rallidae (coots, crakes, and rails)	Forbes's forest rail
Birds	Rallidae (coots, crakes, and rails)	Mayr's forest rail
Birds	Rallidae (coots, crakes, and rails)	Red-necked crake
Birds	Rallidae (coots, crakes, and rails)	Andaman crake
Birds	Rallidae (coots, crakes, and rails)	Red-legged crake
Birds	Rallidae (coots, crakes, and rails)	Slaty-legged crake
Birds	Rallidae (coots, crakes, and rails)	Chestnut-headed crake
Birds	Rallidae (coots, crakes, and rails)	Russet-crowned crake
Birds	Rallidae (coots, crakes, and rails)	Black-banded crake
Birds	Rallidae (coots, crakes, and rails)	Rufous-sided crake
Birds	Rallidae (coots, crakes, and rails)	Rusty-flanked crake
Birds	Rallidae (coots, crakes, and rails)	Ruddy crake
Birds	Rallidae (coots, crakes, and rails)	White-throated crake
Birds	Rallidae (coots, crakes, and rails)	Grey-breasted crake
Birds	Rallidae (coots, crakes, and rails)	Black rail
Birds	Rallidae (coots, crakes, and rails)	Galapagos crake
Birds	Rallidae (coots, crakes, and rails)	Red-and-white crake
Birds	Rallidae (coots, crakes, and rails)	Rufous-faced crake
Birds	Rallidae (coots, crakes, and rails)	Bar-winged rail
Birds	Rallidae (coots, crakes, and rails)	Woodford's rail
Birds	Rallidae (coots, crakes, and rails)	Weka
Birds	Rallidae (coots, crakes, and rails)	Calayan rail
Birds	Rallidae (coots, crakes, and rails)	New Caledonian rail
Birds	Rallidae (coots, crakes, and rails)	Lord Howe woodhen
Birds	Rallidae (coots, crakes, and rails)	Okinawa rail
Birds	Rallidae (coots, crakes, and rails)	Barred rail
Birds	Rallidae (coots, crakes, and rails)	Pink-legged rail
Birds	Rallidae (coots, crakes, and rails)	Tahiti rail
Birds	Rallidae (coots, crakes, and rails)	Buff-banded rail
Birds	Rallidae (coots, crakes, and rails)	Guam rail
Birds	Rallidae (coots, crakes, and rails)	Wake Island rail
Birds	Rallidae (coots, crakes, and rails)	Roviana rail
Birds	Rallidae (coots, crakes, and rails)	Dieffenbach's rail
Birds	Rallidae (coots, crakes, and rails)	Chatham rail
Birds	Rallidae (coots, crakes, and rails)	Slaty-breasted rail
Birds	Rallidae (coots, crakes, and rails)	Hawkins's rail
Birds	Rallidae (coots, crakes, and rails)	Mangrove rail
Birds	Rallidae (coots, crakes, and rails)	Clapper rail
Birds	Rallidae (coots, crakes, and rails)	Ridgway's rail
Birds	Rallidae (coots, crakes, and rails)	King rail
Birds	Rallidae (coots, crakes, and rails)	Aztec rail
Birds	Rallidae (coots, crakes, and rails)	Plain-flanked rail
Birds	Rallidae (coots, crakes, and rails)	Virginia rail
Birds	Rallidae (coots, crakes, and rails)	Ecuadorian rail
Birds	Rallidae (coots, crakes, and rails)	Bogota rail
Birds	Rallidae (coots, crakes, and rails)	Austral rail
Birds	Rallidae (coots, crakes, and rails)	Water rail
Birds	Rallidae (coots, crakes, and rails)	Brown-cheeked rail
Birds	Rallidae (coots, crakes, and rails)	African rail
Birds	Rallidae (coots, crakes, and rails)	Madagascan rail
Birds	Rallidae (coots, crakes, and rails)	Brown-banded rail
Birds	Rallidae (coots, crakes, and rails)	Lewin's rail
Birds	Rallidae (coots, crakes, and rails)	Auckland rail
Birds	Rallidae (coots, crakes, and rails)	White-throated rail
Birds	Rallidae (coots, crakes, and rails)	Reunion rail
Birds	Rallidae (coots, crakes, and rails)	Red rail
Birds	Rallidae (coots, crakes, and rails)	Rodrigues rail
Birds	Rallidae (coots, crakes, and rails)	African crake
Birds	Rallidae (coots, crakes, and rails)	Corn crake
Birds	Rallidae (coots, crakes, and rails)	Rouget's rail
Birds	Rallidae (coots, crakes, and rails)	Snoring rail
Birds	Rallidae (coots, crakes, and rails)	Ascension crake
Birds	Rallidae (coots, crakes, and rails)	St. Helena rail
Birds	Rallidae (coots, crakes, and rails)	Inaccessible Island rail
Birds	Rallidae (coots, crakes, and rails)	Little wood rail
Birds	Rallidae (coots, crakes, and rails)	Rufous-necked wood rail
Birds	Rallidae (coots, crakes, and rails)	Grey-necked wood rail
Birds	Rallidae (coots, crakes, and rails)	White-bellied wood rail
Birds	Rallidae (coots, crakes, and rails)	Brown wood rail
Birds	Rallidae (coots, crakes, and rails)	Giant wood rail
Birds	Rallidae (coots, crakes, and rails)	Slaty-breasted wood rail
Birds	Rallidae (coots, crakes, and rails)	Red-winged wood rail
Birds	Rallidae (coots, crakes, and rails)	Uniform crake
Birds	Rallidae (coots, crakes, and rails)	Blue-faced rail
Birds	Rallidae (coots, crakes, and rails)	Talaud rail
Birds	Rallidae (coots, crakes, and rails)	Bare-eyed rail
Birds	Rallidae (coots, crakes, and rails)	Brown crake
Birds	Rallidae (coots, crakes, and rails)	Isabelline bush-hen
Birds	Rallidae (coots, crakes, and rails)	Plain bush-hen
Birds	Rallidae (coots, crakes, and rails)	Pale-vented bush-hen
Birds	Rallidae (coots, crakes, and rails)	Talaud bush-hen
Birds	Rallidae (coots, crakes, and rails)	White-breasted waterhen
Birds	Rallidae (coots, crakes, and rails)	Black crake
Birds	Rallidae (coots, crakes, and rails)	Sakalava rail
Birds	Rallidae (coots, crakes, and rails)	St. Helena crake
Birds	Rallidae (coots, crakes, and rails)	Black-tailed crake
Birds	Rallidae (coots, crakes, and rails)	Little crake
Birds	Rallidae (coots, crakes, and rails)	Baillon's crake
Birds	Rallidae (coots, crakes, and rails)	Spotted crake
Birds	Rallidae (coots, crakes, and rails)	Australian crake
Birds	Rallidae (coots, crakes, and rails)	Sora
Birds	Rallidae (coots, crakes, and rails)	Dot-winged crake
Birds	Rallidae (coots, crakes, and rails)	Ash-throated crake
Birds	Rallidae (coots, crakes, and rails)	Ruddy-breasted crake
Birds	Rallidae (coots, crakes, and rails)	Band-bellied crake
Birds	Rallidae (coots, crakes, and rails)	Spotless crake
Birds	Rallidae (coots, crakes, and rails)	Tahiti crake
Birds	Rallidae (coots, crakes, and rails)	Kosrae crake
Birds	Rallidae (coots, crakes, and rails)	Henderson crake
Birds	Rallidae (coots, crakes, and rails)	Hawaiian rail
Birds	Rallidae (coots, crakes, and rails)	Laysan rail
Birds	Rallidae (coots, crakes, and rails)	Yellow-breasted crake
Birds	Rallidae (coots, crakes, and rails)	White-browed crake
Birds	Rallidae (coots, crakes, and rails)	Striped crake
Birds	Rallidae (coots, crakes, and rails)	Zapata rail
Birds	Rallidae (coots, crakes, and rails)	Colombian crake
Birds	Rallidae (coots, crakes, and rails)	Paint-billed crake
Birds	Rallidae (coots, crakes, and rails)	Spotted rail
Birds	Rallidae (coots, crakes, and rails)	Blackish rail
Birds	Rallidae (coots, crakes, and rails)	Plumbeous rail
Birds	Rallidae (coots, crakes, and rails)	Chestnut rail
Birds	Rallidae (coots, crakes, and rails)	Invisible rail
Birds	Rallidae (coots, crakes, and rails)	New Guinea flightless rail
Birds	Rallidae (coots, crakes, and rails)	Watercock
Birds	Rallidae (coots, crakes, and rails)	Western swamphen
Birds	Rallidae (coots, crakes, and rails)	African swamphen
Birds	Rallidae (coots, crakes, and rails)	Grey-headed swamphen
Birds	Rallidae (coots, crakes, and rails)	Black-backed swamphen
Birds	Rallidae (coots, crakes, and rails)	Philippine swamphen
Birds	Rallidae (coots, crakes, and rails)	Australasian swamphen
Birds	Rallidae (coots, crakes, and rails)	White swamphen
Birds	Rallidae (coots, crakes, and rails)	North Island takahē
Birds	Rallidae (coots, crakes, and rails)	South Island takahē
Birds	Rallidae (coots, crakes, and rails)	Allen's gallinule
Birds	Rallidae (coots, crakes, and rails)	Purple gallinule
Birds	Rallidae (coots, crakes, and rails)	Azure gallinule
Birds	Rallidae (coots, crakes, and rails)	Samoan woodhen
Birds	Rallidae (coots, crakes, and rails)	Makira woodhen
Birds	Rallidae (coots, crakes, and rails)	Tristan moorhen
Birds	Rallidae (coots, crakes, and rails)	Gough moorhen
Birds	Rallidae (coots, crakes, and rails)	Common moorhen
Birds	Rallidae (coots, crakes, and rails)	Common gallinule
Birds	Rallidae (coots, crakes, and rails)	Dusky moorhen
Birds	Rallidae (coots, crakes, and rails)	Lesser moorhen
Birds	Rallidae (coots, crakes, and rails)	Spot-flanked gallinule
Birds	Rallidae (coots, crakes, and rails)	Black-tailed nativehen
Birds	Rallidae (coots, crakes, and rails)	Tasmanian nativehen
Birds	Rallidae (coots, crakes, and rails)	Red-knobbed coot
Birds	Rallidae (coots, crakes, and rails)	Mascarene coot
Birds	Rallidae (coots, crakes, and rails)	Eurasian coot
Birds	Rallidae (coots, crakes, and rails)	Hawaiian coot
Birds	Rallidae (coots, crakes, and rails)	American coot
Birds	Rallidae (coots, crakes, and rails)	Caribbean coot
Birds	Rallidae (coots, crakes, and rails)	White-winged coot
Birds	Rallidae (coots, crakes, and rails)	Andean coot
Birds	Rallidae (coots, crakes, and rails)	Red-gartered coot
Birds	Rallidae (coots, crakes, and rails)	Red-fronted coot
Birds	Rallidae (coots, crakes, and rails)	Giant coot
Birds	Rallidae (coots, crakes, and rails)	Horned coot
Birds	Psophiidae (trumpeters)	Grey-winged trumpeter
Birds	Psophiidae (trumpeters)	Pale-winged trumpeter
Birds	Psophiidae (trumpeters)	Dark-winged trumpeter
Birds	Gruidae (cranes)	Grey crowned crane
Birds	Gruidae (cranes)	Black crowned crane
Birds	Gruidae (cranes)	Siberian crane
Birds	Gruidae (cranes)	Sandhill crane
Birds	Gruidae (cranes)	White-naped crane
Birds	Gruidae (cranes)	Sarus crane
Birds	Gruidae (cranes)	Brolga
Birds	Gruidae (cranes)	Demoiselle crane
Birds	Gruidae (cranes)	Blue crane
Birds	Gruidae (cranes)	Wattled crane
Birds	Gruidae (cranes)	Red-crowned crane
Birds	Gruidae (cranes)	Whooping crane
Birds	Gruidae (cranes)	Common crane
Birds	Gruidae (cranes)	Hooded crane
Birds	Gruidae (cranes)	Black-necked crane
Birds	Aramidae (limpkin)	Limpkin
Birds	Turnicidae (buttonquail)	Common buttonquail
Birds	Turnicidae (buttonquail)	Red-backed buttonquail
Birds	Turnicidae (buttonquail)	Hottentot buttonquail
Birds	Turnicidae (buttonquail)	Black-rumped buttonquail
Birds	Turnicidae (buttonquail)	Yellow-legged buttonquail
Birds	Turnicidae (buttonquail)	Spotted buttonquail
Birds	Turnicidae (buttonquail)	Barred buttonquail
Birds	Turnicidae (buttonquail)	Madagascan buttonquail
Birds	Turnicidae (buttonquail)	Black-breasted buttonquail
Birds	Turnicidae (buttonquail)	Chestnut-backed buttonquail
Birds	Turnicidae (buttonquail)	Buff-breasted buttonquail
Birds	Turnicidae (buttonquail)	Painted buttonquail
Birds	Turnicidae (buttonquail)	Worcester's buttonquail
Birds	Turnicidae (buttonquail)	Sumba buttonquail
Birds	Turnicidae (buttonquail)	Red-chested buttonquail
Birds	Turnicidae (buttonquail)	Little buttonquail
Birds	Turnicidae (buttonquail)	Quail-plover
Birds	Burhinidae (thick-knees and stone-curlews)	Eurasian stone-curlew
Birds	Burhinidae (thick-knees and stone-curlews)	Indian stone-curlew
Birds	Burhinidae (thick-knees and stone-curlews)	Senegal thick-knee
Birds	Burhinidae (thick-knees and stone-curlews)	Water thick-knee
Birds	Burhinidae (thick-knees and stone-curlews)	Spotted thick-knee
Birds	Burhinidae (thick-knees and stone-curlews)	Double-striped thick-knee
Birds	Burhinidae (thick-knees and stone-curlews)	Peruvian thick-knee
Birds	Burhinidae (thick-knees and stone-curlews)	Bush stone-curlew
Birds	Burhinidae (thick-knees and stone-curlews)	Great stone-curlew
Birds	Burhinidae (thick-knees and stone-curlews)	Beach stone-curlew
Birds	Chionidae (sheathbills)	Snowy sheathbill
Birds	Chionidae (sheathbills)	Black-faced sheathbill
Birds	Pluvianellidae (magellanic plover)	Magellanic plover
